,sample_name,from_image,from_area,sample_path,label
57,57,Arad02_1967-625_I-86581_3200dpi_16b.png,Arad (end of 7th century Judah),C:\Users\yarin\PycharmProjects\GuidedProject\Database\Arad (end of 7th century Judah)\Arad02_1967-625_I-86581_3200dpi_16b\Samples\57.png,Arad (end of 7th century Judah)_-_Arad02_1967-625_I-86581_3200dpi_16b.png
58,58,Arad02_1967-625_I-86581_3200dpi_16b.png,Arad (end of 7th century Judah),C:\Users\yarin\PycharmProjects\GuidedProject\Database\Arad (end of 7th century Judah)\Arad02_1967-625_I-86581_3200dpi_16b\Samples\58.png,Arad (end of 7th century Judah)_-_Arad02_1967-625_I-86581_3200dpi_16b.png
59,59,Arad02_1967-625_I-86581_3200dpi_16b.png,Arad (end of 7th century Judah),C:\Users\yarin\PycharmProjects\GuidedProject\Database\Arad (end of 7th century Judah)\Arad02_1967-625_I-86581_3200dpi_16b\Samples\59.png,Arad (end of 7th century Judah)_-_Arad02_1967-625_I-86581_3200dpi_16b.png
60,60,Arad02_1967-625_I-86581_3200dpi_16b.png,Arad (end of 7th century Judah),C:\Users\yarin\PycharmProjects\GuidedProject\Database\Arad (end of 7th century Judah)\Arad02_1967-625_I-86581_3200dpi_16b\Samples\60.png,Arad (end of 7th century Judah)_-_Arad02_1967-625_I-86581_3200dpi_16b.png
61,61,Arad02_1967-625_I-86581_3200dpi_16b.png,Arad (end of 7th century Judah),C:\Users\yarin\PycharmProjects\GuidedProject\Database\Arad (end of 7th century Judah)\Arad02_1967-625_I-86581_3200dpi_16b\Samples\61.png,Arad (end of 7th century Judah)_-_Arad02_1967-625_I-86581_3200dpi_16b.png
62,62,Arad02_1967-625_I-86581_3200dpi_16b.png,Arad (end of 7th century Judah),C:\Users\yarin\PycharmProjects\GuidedProject\Database\Arad (end of 7th century Judah)\Arad02_1967-625_I-86581_3200dpi_16b\Samples\62.png,Arad (end of 7th century Judah)_-_Arad02_1967-625_I-86581_3200dpi_16b.png
63,63,Arad02_1967-625_I-86581_3200dpi_16b.png,Arad (end of 7th century Judah),C:\Users\yarin\PycharmProjects\GuidedProject\Database\Arad (end of 7th century Judah)\Arad02_1967-625_I-86581_3200dpi_16b\Samples\63.png,Arad (end of 7th century Judah)_-_Arad02_1967-625_I-86581_3200dpi_16b.png
64,64,Arad02_1967-625_I-86581_3200dpi_16b.png,Arad (end of 7th century Judah),C:\Users\yarin\PycharmProjects\GuidedProject\Database\Arad (end of 7th century Judah)\Arad02_1967-625_I-86581_3200dpi_16b\Samples\64.png,Arad (end of 7th century Judah)_-_Arad02_1967-625_I-86581_3200dpi_16b.png
65,65,Arad02_1967-625_I-86581_3200dpi_16b.png,Arad (end of 7th century Judah),C:\Users\yarin\PycharmProjects\GuidedProject\Database\Arad (end of 7th century Judah)\Arad02_1967-625_I-86581_3200dpi_16b\Samples\65.png,Arad (end of 7th century Judah)_-_Arad02_1967-625_I-86581_3200dpi_16b.png
66,66,Arad02_1967-625_I-86581_3200dpi_16b.png,Arad (end of 7th century Judah),C:\Users\yarin\PycharmProjects\GuidedProject\Database\Arad (end of 7th century Judah)\Arad02_1967-625_I-86581_3200dpi_16b\Samples\66.png,Arad (end of 7th century Judah)_-_Arad02_1967-625_I-86581_3200dpi_16b.png
67,67,Arad02_1967-625_I-86581_3200dpi_16b.png,Arad (end of 7th century Judah),C:\Users\yarin\PycharmProjects\GuidedProject\Database\Arad (end of 7th century Judah)\Arad02_1967-625_I-86581_3200dpi_16b\Samples\67.png,Arad (end of 7th century Judah)_-_Arad02_1967-625_I-86581_3200dpi_16b.png
68,68,Arad02_1967-625_I-86581_3200dpi_16b.png,Arad (end of 7th century Judah),C:\Users\yarin\PycharmProjects\GuidedProject\Database\Arad (end of 7th century Judah)\Arad02_1967-625_I-86581_3200dpi_16b\Samples\68.png,Arad (end of 7th century Judah)_-_Arad02_1967-625_I-86581_3200dpi_16b.png
69,69,Arad02_1967-625_I-86581_3200dpi_16b.png,Arad (end of 7th century Judah),C:\Users\yarin\PycharmProjects\GuidedProject\Database\Arad (end of 7th century Judah)\Arad02_1967-625_I-86581_3200dpi_16b\Samples\69.png,Arad (end of 7th century Judah)_-_Arad02_1967-625_I-86581_3200dpi_16b.png
70,70,Arad02_1967-625_I-86581_3200dpi_16b.png,Arad (end of 7th century Judah),C:\Users\yarin\PycharmProjects\GuidedProject\Database\Arad (end of 7th century Judah)\Arad02_1967-625_I-86581_3200dpi_16b\Samples\70.png,Arad (end of 7th century Judah)_-_Arad02_1967-625_I-86581_3200dpi_16b.png
71,71,Arad02_1967-625_I-86581_3200dpi_16b.png,Arad (end of 7th century Judah),C:\Users\yarin\PycharmProjects\GuidedProject\Database\Arad (end of 7th century Judah)\Arad02_1967-625_I-86581_3200dpi_16b\Samples\71.png,Arad (end of 7th century Judah)_-_Arad02_1967-625_I-86581_3200dpi_16b.png
72,72,Arad02_1967-625_I-86581_3200dpi_16b.png,Arad (end of 7th century Judah),C:\Users\yarin\PycharmProjects\GuidedProject\Database\Arad (end of 7th century Judah)\Arad02_1967-625_I-86581_3200dpi_16b\Samples\72.png,Arad (end of 7th century Judah)_-_Arad02_1967-625_I-86581_3200dpi_16b.png
73,73,Arad02_1967-625_I-86581_3200dpi_16b.png,Arad (end of 7th century Judah),C:\Users\yarin\PycharmProjects\GuidedProject\Database\Arad (end of 7th century Judah)\Arad02_1967-625_I-86581_3200dpi_16b\Samples\73.png,Arad (end of 7th century Judah)_-_Arad02_1967-625_I-86581_3200dpi_16b.png
74,74,Arad02_1967-625_I-86581_3200dpi_16b.png,Arad (end of 7th century Judah),C:\Users\yarin\PycharmProjects\GuidedProject\Database\Arad (end of 7th century Judah)\Arad02_1967-625_I-86581_3200dpi_16b\Samples\74.png,Arad (end of 7th century Judah)_-_Arad02_1967-625_I-86581_3200dpi_16b.png
75,75,Arad02_1967-625_I-86581_3200dpi_16b.png,Arad (end of 7th century Judah),C:\Users\yarin\PycharmProjects\GuidedProject\Database\Arad (end of 7th century Judah)\Arad02_1967-625_I-86581_3200dpi_16b\Samples\75.png,Arad (end of 7th century Judah)_-_Arad02_1967-625_I-86581_3200dpi_16b.png
76,76,Arad02_1967-625_I-86581_3200dpi_16b.png,Arad (end of 7th century Judah),C:\Users\yarin\PycharmProjects\GuidedProject\Database\Arad (end of 7th century Judah)\Arad02_1967-625_I-86581_3200dpi_16b\Samples\76.png,Arad (end of 7th century Judah)_-_Arad02_1967-625_I-86581_3200dpi_16b.png
77,77,Arad02_1967-625_I-86581_3200dpi_16b.png,Arad (end of 7th century Judah),C:\Users\yarin\PycharmProjects\GuidedProject\Database\Arad (end of 7th century Judah)\Arad02_1967-625_I-86581_3200dpi_16b\Samples\77.png,Arad (end of 7th century Judah)_-_Arad02_1967-625_I-86581_3200dpi_16b.png
78,78,Arad02_1967-625_I-86581_3200dpi_16b.png,Arad (end of 7th century Judah),C:\Users\yarin\PycharmProjects\GuidedProject\Database\Arad (end of 7th century Judah)\Arad02_1967-625_I-86581_3200dpi_16b\Samples\78.png,Arad (end of 7th century Judah)_-_Arad02_1967-625_I-86581_3200dpi_16b.png
79,79,Arad02_1967-625_I-86581_3200dpi_16b.png,Arad (end of 7th century Judah),C:\Users\yarin\PycharmProjects\GuidedProject\Database\Arad (end of 7th century Judah)\Arad02_1967-625_I-86581_3200dpi_16b\Samples\79.png,Arad (end of 7th century Judah)_-_Arad02_1967-625_I-86581_3200dpi_16b.png
80,80,Arad02_1967-625_I-86581_3200dpi_16b.png,Arad (end of 7th century Judah),C:\Users\yarin\PycharmProjects\GuidedProject\Database\Arad (end of 7th century Judah)\Arad02_1967-625_I-86581_3200dpi_16b\Samples\80.png,Arad (end of 7th century Judah)_-_Arad02_1967-625_I-86581_3200dpi_16b.png
81,81,Arad02_1967-625_I-86581_3200dpi_16b.png,Arad (end of 7th century Judah),C:\Users\yarin\PycharmProjects\GuidedProject\Database\Arad (end of 7th century Judah)\Arad02_1967-625_I-86581_3200dpi_16b\Samples\81.png,Arad (end of 7th century Judah)_-_Arad02_1967-625_I-86581_3200dpi_16b.png
82,82,Arad24_1972-121_I-86564_3200dpi_16b.png,Arad (end of 7th century Judah),C:\Users\yarin\PycharmProjects\GuidedProject\Database\Arad (end of 7th century Judah)\Arad24_1972-121_I-86564_3200dpi_16b\Samples\82.png,Arad (end of 7th century Judah)_-_Arad24_1972-121_I-86564_3200dpi_16b.png
83,83,Arad24_1972-121_I-86564_3200dpi_16b.png,Arad (end of 7th century Judah),C:\Users\yarin\PycharmProjects\GuidedProject\Database\Arad (end of 7th century Judah)\Arad24_1972-121_I-86564_3200dpi_16b\Samples\83.png,Arad (end of 7th century Judah)_-_Arad24_1972-121_I-86564_3200dpi_16b.png
84,84,Arad24_1972-121_I-86564_3200dpi_16b.png,Arad (end of 7th century Judah),C:\Users\yarin\PycharmProjects\GuidedProject\Database\Arad (end of 7th century Judah)\Arad24_1972-121_I-86564_3200dpi_16b\Samples\84.png,Arad (end of 7th century Judah)_-_Arad24_1972-121_I-86564_3200dpi_16b.png
85,85,Arad24_1972-121_I-86564_3200dpi_16b.png,Arad (end of 7th century Judah),C:\Users\yarin\PycharmProjects\GuidedProject\Database\Arad (end of 7th century Judah)\Arad24_1972-121_I-86564_3200dpi_16b\Samples\85.png,Arad (end of 7th century Judah)_-_Arad24_1972-121_I-86564_3200dpi_16b.png
86,86,Arad24_1972-121_I-86564_3200dpi_16b.png,Arad (end of 7th century Judah),C:\Users\yarin\PycharmProjects\GuidedProject\Database\Arad (end of 7th century Judah)\Arad24_1972-121_I-86564_3200dpi_16b\Samples\86.png,Arad (end of 7th century Judah)_-_Arad24_1972-121_I-86564_3200dpi_16b.png
87,87,Arad24_1972-121_I-86564_3200dpi_16b.png,Arad (end of 7th century Judah),C:\Users\yarin\PycharmProjects\GuidedProject\Database\Arad (end of 7th century Judah)\Arad24_1972-121_I-86564_3200dpi_16b\Samples\87.png,Arad (end of 7th century Judah)_-_Arad24_1972-121_I-86564_3200dpi_16b.png
88,88,Arad24_1972-121_I-86564_3200dpi_16b.png,Arad (end of 7th century Judah),C:\Users\yarin\PycharmProjects\GuidedProject\Database\Arad (end of 7th century Judah)\Arad24_1972-121_I-86564_3200dpi_16b\Samples\88.png,Arad (end of 7th century Judah)_-_Arad24_1972-121_I-86564_3200dpi_16b.png
89,89,Arad24_1972-121_I-86564_3200dpi_16b.png,Arad (end of 7th century Judah),C:\Users\yarin\PycharmProjects\GuidedProject\Database\Arad (end of 7th century Judah)\Arad24_1972-121_I-86564_3200dpi_16b\Samples\89.png,Arad (end of 7th century Judah)_-_Arad24_1972-121_I-86564_3200dpi_16b.png
90,90,Arad24_1972-121_I-86564_3200dpi_16b.png,Arad (end of 7th century Judah),C:\Users\yarin\PycharmProjects\GuidedProject\Database\Arad (end of 7th century Judah)\Arad24_1972-121_I-86564_3200dpi_16b\Samples\90.png,Arad (end of 7th century Judah)_-_Arad24_1972-121_I-86564_3200dpi_16b.png
91,91,Arad24_1972-121_I-86564_3200dpi_16b.png,Arad (end of 7th century Judah),C:\Users\yarin\PycharmProjects\GuidedProject\Database\Arad (end of 7th century Judah)\Arad24_1972-121_I-86564_3200dpi_16b\Samples\91.png,Arad (end of 7th century Judah)_-_Arad24_1972-121_I-86564_3200dpi_16b.png
92,92,Arad24_1972-121_I-86564_3200dpi_16b.png,Arad (end of 7th century Judah),C:\Users\yarin\PycharmProjects\GuidedProject\Database\Arad (end of 7th century Judah)\Arad24_1972-121_I-86564_3200dpi_16b\Samples\92.png,Arad (end of 7th century Judah)_-_Arad24_1972-121_I-86564_3200dpi_16b.png
93,93,Arad24_1972-121_I-86564_3200dpi_16b.png,Arad (end of 7th century Judah),C:\Users\yarin\PycharmProjects\GuidedProject\Database\Arad (end of 7th century Judah)\Arad24_1972-121_I-86564_3200dpi_16b\Samples\93.png,Arad (end of 7th century Judah)_-_Arad24_1972-121_I-86564_3200dpi_16b.png
94,94,Arad24_1972-121_I-86564_3200dpi_16b.png,Arad (end of 7th century Judah),C:\Users\yarin\PycharmProjects\GuidedProject\Database\Arad (end of 7th century Judah)\Arad24_1972-121_I-86564_3200dpi_16b\Samples\94.png,Arad (end of 7th century Judah)_-_Arad24_1972-121_I-86564_3200dpi_16b.png
95,95,Arad24_1972-121_I-86564_3200dpi_16b.png,Arad (end of 7th century Judah),C:\Users\yarin\PycharmProjects\GuidedProject\Database\Arad (end of 7th century Judah)\Arad24_1972-121_I-86564_3200dpi_16b\Samples\95.png,Arad (end of 7th century Judah)_-_Arad24_1972-121_I-86564_3200dpi_16b.png
96,96,Arad24_1972-121_I-86564_3200dpi_16b.png,Arad (end of 7th century Judah),C:\Users\yarin\PycharmProjects\GuidedProject\Database\Arad (end of 7th century Judah)\Arad24_1972-121_I-86564_3200dpi_16b\Samples\96.png,Arad (end of 7th century Judah)_-_Arad24_1972-121_I-86564_3200dpi_16b.png
